,,,,,,,,,,,,Row Labels,mixed,negative,positive,Grand Total
Taylor Swift,,10,146,,156,,,,,,,,,,,
All You Had to Do Was Stay,,,18,,18,,,,,,,,,,,
Bad Blood,,,21,,21,,,,,,,,,,,
Blank Space,,,41,,41,,,,,,,,,,,
Out of the Woods,,,19,,19,,,,,,,,,,,
Shake It Off,,,15,,15,,,,,,,,,,,
Starlight,,,10,,10,,,,,,,,,,,
Style,,,10,,10,,,,,,,,,,,
We Are Never Ever Getting Back Together,,,12,,12,,,,,,,,,,,
Welcome to New York,,10,,,10,,,,,,,,,,,
The Blow,11,,,,11,,,,,,,,,,,
From the Future,11,,,,11,,,,,,,,,,,
The Chemical Brothers,12,,,,12,,,,,,,,,,,
K+D+B,12,,,,12,,,,,,,,,,,
The Magnetic Fields,,6,,,6,,,,,,,,,,,
Come Back From San Francisco,,6,,,6,,,,,,,,,,,
The Naked and Famous,,,10,,10,,,,,,,,,,,
The Mess,,,10,,10,,,,,,,,,,,
The Never Say Nevers,,,13,,13,,,,,,,,,,,
Black Tongue 11-5 (3),,,13,,13,,,,,,,,,,,
Tycho,16,,,,16,,,,,,,,,,,
Awake,16,,,,16,,,,,,,,,,,
Yeah Yeah Yeahs,,,,13,13,,,,,,,,,,,
Zero,,,,13,13,,,,,,,,,,,
Grand Total,90,258,386,182,916,,,,,,,,,,,
